alignment,property,taxon,MG94XREV,nucleotide_GTR,N,MOST_LIKELY_MATCH,IN_SET,MEAN_PROBABILITY,MEAN_RATIO_TO_SECOND,bin
adh.nex,Atchley,LEB,0.1466690799050645,0.1252421534454371,227,115,227,0.30608734569905804,0.781678707345713,"(0.14,0.15]"
adh.nex,Atchley,ADI,0.0322028172727646,0.03414520289955859,227,195,227,0.7497083383628022,3.37203358150989,"(0.03,0.04]"
adh.nex,Atchley,AFF,0.01861912623803915,0.02041854922566387,227,205,227,0.8183323354072203,4.154273454556804,"(0.01,0.02]"
adh.nex,Atchley,AMB,0.05400447320661814,0.0436412621312568,227,180,227,0.6208662611235717,2.386134936217372,"(0.05,0.06]"
adh.nex,Atchley,CRA,0.176204281237962,0.1401010751382673,227,129,227,0.3614532946453408,0.9542381824287056,"(0.17,0.18]"
adh.nex,Atchley,DIF,0.0049125231645086,0.00528217678133089,227,223,227,0.9577895275893762,6.479530745843704,"[0,0.01]"
adh.nex,Atchley,ERE,0.01939766788983771,0.01493255741022628,227,199,227,0.7617894750540404,3.6115065412738696,"(0.01,0.02]"
adh.nex,Atchley,HET,8.5271271680349e-4,8.4078933454776e-4,227,225,227,0.981632422580427,8.84320721445826,"[0,0.01]"
adh.nex,Atchley,MA,0.0123349709939276,0.01159407989466541,227,217,227,0.9040846637096642,5.221583703474616,"(0.01,0.02]"
adh.nex,Atchley,MEL,0.01151110759023038,0.01148510946283882,227,216,227,0.894427841314724,5.155857226158884,"(0.01,0.02]"
adh.nex,Atchley,MET,0.0973859941600057,0.09652483067545796,227,137,227,0.3963488721088491,1.1174995169266535,"(0.09,0.1]"
adh.nex,Atchley,MIM,0.02401812450791779,0.02422257349814623,227,203,227,0.784904770475605,3.658748389547518,"(0.02,0.03]"
adh.nex,Atchley,MIR,0.00703870402166183,0.00609650521913147,227,218,227,0.911057790377023,5.460492162345195,"[0,0.01]"
adh.nex,Atchley,NIG,0.04462238763369481,0.03491165345783227,227,186,227,0.6512065551914853,2.5588119339532445,"(0.04,0.05]"
adh.nex,Atchley,PER,0.00133665486428062,0,227,224,227,0.9736699629690332,8.315143323968123,"[0,0.01]"
adh.nex,Atchley,PLA,0,0,227,226,227,0.9832255510540172,13.322853684359732,"[0,0.01]"
adh.nex,Atchley,PS,0,0.00129962822945343,227,224,227,0.9784605869263692,13.012238790794074,"[0,0.01]"
adh.nex,Atchley,SIL,0.00161044620257831,0.00179266795752284,227,225,227,0.98021384491015,8.035343514007486,"[0,0.01]"
adh.nex,Atchley,SIM,0.00152350538409467,0.00159910921608202,227,221,227,0.9514648816462892,7.709035968697343,"[0,0.01]"
adh.nex,Atchley,SUB,0.0638756498985711,0.06172912965811198,227,165,227,0.5660090820816047,2.1535660373850334,"(0.06,0.07]"
adh.nex,Atchley,YAK,0.02624148757820359,0.02399421948203247,227,198,227,0.769536246708755,3.734552703244894,"(0.02,0.03]"
adh.nex,Atchley,PSE,0.00818149782485423,0.00658368837590801,227,222,227,0.9445136417672726,5.972107449505624,"[0,0.01]"
adh.nex,Atchley,PIC,0.03198598437490297,0.03251000746736663,227,200,227,0.7636538385846857,3.4311492640587877,"(0.03,0.04]"
adh.nex,LCAP,LEB,0.1466690799050645,0.1252421534454371,227,118,227,0.31211418394104706,0.8064289762473532,"(0.14,0.15]"
adh.nex,LCAP,ADI,0.0322028172727646,0.03414520289955859,227,195,227,0.750991300156671,3.389568681866335,"(0.03,0.04]"
adh.nex,LCAP,AFF,0.01861912623803915,0.02041854922566387,227,205,227,0.819189495429232,4.177186429590178,"(0.01,0.02]"
